match_id,radiant_team_id,r_kills,r_deaths,r_assists,r_xpm,r_gpm,dire_team_id,d_kills,d_deaths,d_assists,d_xpm,d_gpm
6508028258,8713563,46,44,101,2286,2992,8709720,44,46,79,2514,3035
6508028260,8713550,25,36,55,2100,2400,8483124,36,25,79,2526,3051
6508009668,8709702,27,37,60,1908,2614,8713557,35,27,82,2363,3353
6507986150,8713560,33,30,75,2265,2989,8710212,29,33,55,1832,2372
6508079759,8483124,29,27,67,2084,2494,8713550,26,29,40,2166,2515
6508036911,8709998,30,52,69,2362,2926,8709123,50,31,95,2519,3095
6507988177,8709123,23,39,47,1719,2192,8709998,39,25,75,2383,3330
6508040303,8709985,30,34,59,2235,2814,8709698,34,30,65,2501,2878
6508056435,8713560,9,32,13,1284,1758,8710212,32,10,67,2165,2577
6508060055,8713557,34,36,79,2537,3092,8709702,35,35,84,2616,3005
6507988988,8709698,29,15,64,2382,2940,8709985,15,29,34,1764,2342
